,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.096423Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.214008Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.282728Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.382776Z,3.122418,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.483101Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.583342Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.696516Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.795092Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.896478Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:11.990936Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.095491Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.191386Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.281953Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.391525Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.495357Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.596547Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.696481Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.795845Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.892884Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:12.99507Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.095738Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.195416Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.296489Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.396866Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.496442Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.596373Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.696176Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.796118Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.89506Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:13.995014Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.096171Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.195456Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.296432Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.396739Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.496138Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.596109Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.696131Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.796415Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.894665Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:14.995448Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.096116Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.195937Z,3.126236,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.2964Z,3.124709,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.396472Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.495152Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.59648Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.696554Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.795126Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.895145Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:15.996853Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.096354Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.196435Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.295048Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.395001Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.495424Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.595349Z,3.121655,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.694945Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.796658Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.895049Z,3.127,current,PowerMeasurement
,,0,2022-01-27T16:58:11.01Z,2022-01-27T16:59:11.005Z,2022-01-27T16:58:16.996374Z,3.127,current,PowerMeasurement
